Dia;Mes;Ano;Clasificacion;Asunto ;Descripcion;Gasto;Ingreso
15;Abril;2017;Ocio;Comida/Cena;Cena pascuas con Vicent y Bacarra;11.75  ;0
16;Abril;2017;Ocio;Comida/Cena;Cena pascuas con Vicent y Bacarra;4.00  ;0
21;Abril;2017;Caprichos;InstantGaming;EUIV (80%Rebajas);7.46  ;0
21;Abril;2017;Ocio;Comida/Cena;Cena Vicente Japones Valencia;20.00  ;50.00  
21;Abril;2017;Gastos;Compras;Suministros para el biaje;2.50  ;0
28;Abril;2017;Gastos;Compras;Suministros para el biaje;20.42  ;0
28;Abril;2017;Transporte;Metro;Recarga Barick;10.00  ;0
28;Abril;2017;Ocio;bolera;bolera ballonti;6.00  ;0
1;Mayo;2017;Salario;Pension;Pension de David;0;200.00  
1;Mayo;2017;Vivienda;Alquiler;Piso de Alex Ye en Bilbao ;325.00  ;325.00  
2;Mayo;2017;Gastos;Reprografia;Goma borrar;0.30  ;0
2;Mayo;2017;Regalos;Regalos;Regalo Cumple mama;0;50.00  
5;Mayo;2017;Gastos;Compras;Compra semanal;13.44  ;0
6;Mayo;2017;Ocio;Billar;Partidas de villar;4.50  ;0
5;Mayo;2017;Gastos;Compras;Compra semanal;13.44  ;0
11;Mayo;2017;Gastos;Compras;Compra semanal;12.43  ;0
13;Mayo;2017;Ocio;Concierto;Botella de agua;3.50  ;0
19;Mayo;2017;Gastos;Compras;Compra semanal;10.45  ;0
19;Mayo;2017;Ocio;Merienda;Merienda ;5.40  ;0
22;Mayo;2017;Gastos;Compras;Compra semanal;19.32  ;0
24;Mayo;2017;Gastos;Compras;Compra semanal;9.43  ;0
24;Mayo;2017;Gastos;Peluqueria;Compra semanal;13.00  ;0
30;Mayo;2017;Regalos;Cumpleaños;Mochila impermeable camara Wish Sstella;16.00  ;0
1;Junio;2017;Salario;Pension;Pension de David;0;200.00  
1;Junio;2017;Vivienda;Alquiler;Piso de Alex Ye en Bilbao ;325.00  ;325.00  
1;Junio;2017;Transporte;BilmanBus;ida Valencia por verano;34.19  ;0
2;Junio;2017;Transporte;Metro;Recarga Barick;10.00  ;0
13;Junio;2017;Regalos;Cumpleaños;Canon EOS1100 Regalo Sstella ;245.10  ;0
14;Junio;2017;Gastos;Compras;Compra semanal;15.56  ;0
16;Junio;2017;Transporte;Metro;Recarga Barick;13.00  ;0
19;Junio;2017;Gastos;Compras;Compra semanal;5.55  ;0
22;Junio;2017;Caprichos;Rebajas;Super rebajas Steam 22 juegos ;27.75  ;10.00  
23;Junio;2017;Compras;Movil;LG g6 de amazon;560.77  ;560.77  
25;Junio;2017;Ocio;Comida/Cena;pizza Quedada con visent;10.00  ;10.00  
1;Julio;2017;Salario;Pension;Pension de David;0;200.00  
1;Julio;2017;Ocio;Comida/Cena;quedada Vicent y Bacarra;4.00  ;0
3;Julio;2017;Caprichos;Rebajas;Super rebajas steam StarBounder;7.00  ;1.00  
17;Julio;2017;Viajes;Viaje;viaje a palma - Novia de Luis;500.00  ;500.00  
20;Julio;2017;Ocio;Comida/Cena;quedada Vicent;4.00  ;4.00  
21;Julio;2017;Caprichos;Rebajas;WarHammer Vermintide + DLC Dchuluesselschloss;6.10  ;0
25;Julio;2017;Estudios;Correos;Certificado familia numerosa ;15.50  ;15.50  
27;Julio;2017;Ocio;Cine;Pase mensual CineRibera;20.00  ;20.00  
1;Agosto;2017;Salario;Pension;Pension de David;0;250.00  
1;Agosto;2017;Ocio;Comida/Cena;Pizza Carcaixent ;10.00  ;10.00  
10;Agosto;2017;Transporte;Renfe ;Quedada Soft combat;5.50  ;0
10;Agosto;2017;Transporte;Bonometro valencia ;Quedada Soft combat;7.50  ;0
